기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2019	은평구	수색동	469	122	347	156	31	125	16	1	15	297	90	207
2019	은평구	진관동	1,223	373	850	254	58	196	59	16	43	910	299	611
2019	은평구	불광2동	1,669	560	1,109	542	173	369	68	17	51	1,059	370	689
2019	은평구	응암3동	1,650	494	1,156	404	123	281	78	15	63	1,168	356	812
2019	은평구	역촌동	1,944	595	1,349	437	150	287	108	22	86	1,399	423	976
2019	서대문구	소계	12,230	3,612	8,618	2,519	809	1,710	634	135	499	9,077	2,668	6,409
2019	서대문구	천연동	999	294	705	295	91	204	42	13	29	662	190	472
2019	서대문구	홍제1동	923	272	651	159	60	99	45	6	39	719	206	513
2019	서대문구	홍제3동	847	226	621	176	48	128	81	12	69	590	166	424
2019	서대문구	홍제2동	604	142	462	154	33	121	37	5	32	413	104	309
2019	서대문구	홍은1동	976	273	703	231	80	151	63	13	50	682	180	502
2019	서대문구	홍은2동	1,023	308	715	168	51	117	53	16	37	802	241	561
2019	서대문구	남가좌1동	364	120	244	72	29	43	13	4	9	279	87	192
2019	서대문구	남가좌2동	1,086	325	761	280	78	202	70	17	53	736	230	506
2019	서대문구	북가좌1동	493	146	347	103	30	73	26	4	22	364	112	252
2019	서대문구	북가좌2동	1,445	443	1,002	281	88	193	63	15	48	1,101	340	761
2019	서대문구	충현동	841	282	559	167	65	102	47	11	36	627	206	421
2019	서대문구	북아현동	586	175	411	143	54	89	22	3	19	421	118	303
2019	서대문구	신촌동	562	178	384	79	34	45	26	6	20	457	138	319
2019	서대문구	연희동	1,481	428	1,053	211	68	143	46	10	36	1,224	350	874
2019	마포구	소계	12,067	3,245	8,822	2,277	700	1,577	688	128	560	9,102	2,417	6,685
2019	마포구	용강동	650	135	515	129	37	92	30	6	24	491	92	399
2019	마포구	대흥동	594	192	402	127	50	77	36	8	28	431	134	297
